epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,126.812,0.64212,0.54898,0.90661,0.99776,0.99906,0.995,0.83573,0.66616,0.36053,0.90585,0.000554798,0.000554798,0.000554798
2,246.621,0.66896,0.57538,0.91178,0.99567,0.99723,0.995,0.82785,0.69592,0.38243,0.92528,0.00108848,0.00108848,0.00108848
3,365.05,0.69401,0.58764,0.92163,0.99283,0.99906,0.99499,0.83014,0.68067,0.40379,0.91409,0.00160015,0.00160015,0.00160015
4,483.596,0.70756,0.59792,0.92445,0.99785,0.99787,0.99497,0.83099,0.68221,0.39058,0.91645,0.00156798,0.00156798,0.00156798
5,602.37,0.6968,0.59391,0.9224,0.99609,0.99811,0.99498,0.8277,0.68444,0.40022,0.91901,0.00153497,0.00153497,0.00153497
6,721.018,0.69814,0.59534,0.92348,0.9969,0.99811,0.99423,0.83139,0.67754,0.40025,0.91232,0.00150197,0.00150197,0.00150197
7,839.254,0.69538,0.58838,0.92118,0.99799,0.99906,0.99497,0.82514,0.68412,0.36147,0.91531,0.00146896,0.00146896,0.00146896
8,957.81,0.69247,0.59039,0.92035,0.99714,0.99811,0.995,0.83304,0.6669,0.38646,0.91207,0.00143595,0.00143595,0.00143595
9,1075.31,0.69196,0.58884,0.91794,0.99768,0.99906,0.99499,0.83288,0.66488,0.38281,0.90945,0.00140295,0.00140295,0.00140295
10,1193.46,0.69154,0.58326,0.91775,0.99596,0.99811,0.99485,0.83974,0.65666,0.37363,0.90752,0.00136994,0.00136994,0.00136994
11,1311.42,0.6912,0.58657,0.92014,0.99619,0.99811,0.99489,0.83251,0.66666,0.37349,0.9131,0.00133693,0.00133693,0.00133693
12,1429.43,0.68631,0.57852,0.91709,0.99644,0.99811,0.995,0.83602,0.66395,0.37882,0.90943,0.00130393,0.00130393,0.00130393
13,1546.82,0.67855,0.57592,0.9168,0.99653,0.99788,0.99499,0.83205,0.66979,0.36981,0.90868,0.00127092,0.00127092,0.00127092
